id,data,aula,slug,trecho_original,versao_lapidada,tipo,pilar,contexto,por_que_importa,clareza,originalidade,tensao,utilidade,corte,reaproveitamento,alinhamento,score_total,prioridade,status,formatos_sugeridos,campanha_sugerida,arquivo_origem
001-como-funcionam-realmente-as-ias-generativas-p001,2026-06-26,Como funcionam realmente as IAs generativas,001-como-funcionam-realmente-as-ias-generativas,"Quando a gente fala de IA, a gente não está falando exatamente de IA.","Quando o mercado diz “IA”, geralmente está falando de um pedaço muito específico da IA: as generativas conversacionais.",definição simples,Anti-hype e discernimento,Extraído da linha argumentativa da aula sobre Como funcionam realmente as IAs generativas.,Transforma um ponto didático da aula em ativo editorial reutilizável para empresários que querem aplicar IA com discernimento e foco em negócio.,4,4,4,4,3,4,4,27,P2,nova,reels/shorts; carrossel; post LinkedIn,Anti-hype: IA aplicada de verdade,/root/domus-conteudo/aulas/001-como-funcionam-realmente-as-ias-generativas.md
001-como-funcionam-realmente-as-ias-generativas-p002,2026-06-26,Como funcionam realmente as IAs generativas,001-como-funcionam-realmente-as-ias-generativas,O objetivo da IA generativa? Gerar coisas.,"IA generativa foi feita para gerar; quando você exige julgamento, verdade ou decisão, precisa criar camadas de controle.",tese,Anti-hype e discernimento,Extraído da linha argumentativa da aula sobre Como funcionam realmente as IAs generativas.,Transforma um ponto didático da aula em ativo editorial reutilizável para empresários que querem aplicar IA com discernimento e foco em negócio.,4,4,4,4,4,4,4,28,P2,nova,reels/shorts; carrossel; post LinkedIn,Anti-hype: IA aplicada de verdade,/root/domus-conteudo/aulas/001-como-funcionam-realmente-as-ias-generativas.md
001-como-funcionam-realmente-as-ias-generativas-p003,2026-06-26,Como funcionam realmente as IAs generativas,001-como-funcionam-realmente-as-ias-generativas,A gente começa a ensinar as máquinas com dados no lugar de instruções.,"O salto do machine learning é trocar receita por exemplos: você mostra input e resultado, e o algoritmo aprende o caminho.",definição simples,Sistemas e alavancagem,Extraído da linha argumentativa da aula sobre Como funcionam realmente as IAs generativas.,Transforma um ponto didático da aula em ativo editorial reutilizável para empresários que querem aplicar IA com discernimento e foco em negócio.,4,4,4,4,3,4,5,28,P2,nova,reels/shorts; carrossel; post LinkedIn,Implementação prática de IA,/root/domus-conteudo/aulas/001-como-funcionam-realmente-as-ias-generativas.md
001-como-funcionam-realmente-as-ias-generativas-p004,2026-06-26,Como funcionam realmente as IAs generativas,001-como-funcionam-realmente-as-ias-generativas,"Por trás do chat GPT, não tem ninguém ensinando como fazer um poema.",O modelo não recebeu uma apostila de poesia; ele aprendeu padrões em milhões de amostras.,analogia,Anti-hype e discernimento,Extraído da linha argumentativa da aula sobre Como funcionam realmente as IAs generativas.,Transforma um ponto didático da aula em ativo editorial reutilizável para empresários que querem aplicar IA com discernimento e foco em negócio.,4,4,4,4,3,4,4,27,P3,nova,reels/shorts; carrossel; post LinkedIn,Anti-hype: IA aplicada de verdade,/root/domus-conteudo/aulas/001-como-funcionam-realmente-as-ias-generativas.md
001-como-funcionam-realmente-as-ias-generativas-p005,2026-06-26,Como funcionam realmente as IAs generativas,001-como-funcionam-realmente-as-ias-generativas,Problemas humanos não têm muito uma receita certinha.,IA ficou poderosa justamente onde a regra explícita falha: nos problemas humanos cheios de contexto e ambiguidade.,contraste,Casos de negócio,Extraído da linha argumentativa da aula sobre Como funcionam realmente as IAs generativas.,Transforma um ponto didático da aula em ativo editorial reutilizável para empresários que querem aplicar IA com discernimento e foco em negócio.,4,4,4,4,4,4,4,28,P2,nova,reels/shorts; carrossel; post LinkedIn,Implementação prática de IA,/root/domus-conteudo/aulas/001-como-funcionam-realmente-as-ias-generativas.md
001-como-funcionam-realmente-as-ias-generativas-p006,2026-06-26,Como funcionam realmente as IAs generativas,001-como-funcionam-realmente-as-ias-generativas,"Muitas amostras, amostras, amostras e amostras.",O combustível real da IA não é encanto: é volume brutal de exemplos transformados em padrão.,frase de impacto,Sistemas e alavancagem,Extraído da linha argumentativa da aula sobre Como funcionam realmente as IAs generativas.,Transforma um ponto didático da aula em ativo editorial reutilizável para empresários que querem aplicar IA com discernimento e foco em negócio.,4,4,4,4,3,4,5,28,P2,nova,reels/shorts; carrossel; post LinkedIn,Implementação prática de IA,/root/domus-conteudo/aulas/001-como-funcionam-realmente-as-ias-generativas.md
001-como-funcionam-realmente-as-ias-generativas-p007,2026-06-26,Como funcionam realmente as IAs generativas,001-como-funcionam-realmente-as-ias-generativas,Não é tão simples assim definir o que é um gato.,"Se você não consegue explicar a regra, talvez precise de exemplos — e é aí que aprendizado de máquina faz sentido.",analogia,Implementação,Extraído da linha argumentativa da aula sobre Como funcionam realmente as IAs generativas.,Transforma um ponto didático da aula em ativo editorial reutilizável para empresários que querem aplicar IA com discernimento e foco em negócio.,4,4,4,4,3,4,4,27,P3,nova,reels/shorts; carrossel; post LinkedIn,Implementação prática de IA,/root/domus-conteudo/aulas/001-como-funcionam-realmente-as-ias-generativas.md
001-como-funcionam-realmente-as-ias-generativas-p008,2026-06-26,Como funcionam realmente as IAs generativas,001-como-funcionam-realmente-as-ias-generativas,Existem muitos erros básicos por falta desse conhecimento.,Muita frustração com IA nasce de pedir para a ferramenta aquilo que ela não foi desenhada para entregar sozinha.,erro comum,Anti-hype e discernimento,Extraído da linha argumentativa da aula sobre Como funcionam realmente as IAs generativas.,Transforma um ponto didático da aula em ativo editorial reutilizável para empresários que querem aplicar IA com discernimento e foco em negócio.,4,4,4,4,4,4,4,28,P2,nova,reels/shorts; carrossel; post LinkedIn,Anti-hype: IA aplicada de verdade,/root/domus-conteudo/aulas/001-como-funcionam-realmente-as-ias-generativas.md
002-como-pensar-em-ia-mentalidade-de-construtor-p001,2026-06-26,Como pensar em IA: mentalidade de construtor,002-como-pensar-em-ia-mentalidade-de-construtor,Mentalidade... não é aquele papo de você consegue.,"Mentalidade, aqui, não é autoajuda: é a lente que define o que você consegue enxergar e construir com IA.",tese,Gestão antes da IA,Extraído da linha argumentativa da aula sobre Como pensar em IA: mentalidade de construtor.,Transforma um ponto didático da aula em ativo editorial reutilizável para empresários que querem aplicar IA com discernimento e foco em negócio.,4,4,4,4,3,4,4,27,P2,nova,reels/shorts; carrossel; post LinkedIn,IA com gestão antes da ferramenta,/root/domus-conteudo/aulas/002-como-pensar-em-ia-mentalidade-de-construtor.md
002-como-pensar-em-ia-mentalidade-de-construtor-p002,2026-06-26,Como pensar em IA: mentalidade de construtor,002-como-pensar-em-ia-mentalidade-de-construtor,É mais sobre como eu espero que vocês vejam as coisas.,"Antes de dominar ferramenta, você precisa calibrar a forma de olhar para problemas, soluções e contexto.",frase de impacto,Anti-hype e discernimento,Extraído da linha argumentativa da aula sobre Como pensar em IA: mentalidade de construtor.,Transforma um ponto didático da aula em ativo editorial reutilizável para empresários que querem aplicar IA com discernimento e foco em negócio.,4,4,4,4,4,4,4,28,P2,nova,reels/shorts; carrossel; post LinkedIn,Anti-hype: IA aplicada de verdade,/root/domus-conteudo/aulas/002-como-pensar-em-ia-mentalidade-de-construtor.md
002-como-pensar-em-ia-mentalidade-de-construtor-p003,2026-06-26,Como pensar em IA: mentalidade de construtor,002-como-pensar-em-ia-mentalidade-de-construtor,"Quanto mais vocês me derem contexto, mais eu vou conseguir usar o exemplo de vocês.","IA boa depende de contexto bom; mentoria boa também. Sem contexto, tudo vira exemplo genérico.",contraste,Implementação,Extraído da linha argumentativa da aula sobre Como pensar em IA: mentalidade de construtor.,Transforma um ponto didático da aula em ativo editorial reutilizável para empresários que querem aplicar IA com discernimento e foco em negócio.,4,4,4,4,3,4,5,28,P2,nova,reels/shorts; carrossel; post LinkedIn,Implementação prática de IA,/root/domus-conteudo/aulas/002-como-pensar-em-ia-mentalidade-de-construtor.md
002-como-pensar-em-ia-mentalidade-de-construtor-p004,2026-06-26,Como pensar em IA: mentalidade de construtor,002-como-pensar-em-ia-mentalidade-de-construtor,Todas as aulas terminarão com os próximos passos.,Conhecimento que não vira próximo passo vira entretenimento sofisticado.,frase de impacto,Implementação,Extraído da linha argumentativa da aula sobre Como pensar em IA: mentalidade de construtor.,Transforma um ponto didático da aula em ativo editorial reutilizável para empresários que querem aplicar IA com discernimento e foco em negócio.,4,4,4,4,3,4,4,27,P3,nova,reels/shorts; carrossel; post LinkedIn,Implementação prática de IA,/root/domus-conteudo/aulas/002-como-pensar-em-ia-mentalidade-de-construtor.md
002-como-pensar-em-ia-mentalidade-de-construtor-p005,2026-06-26,Como pensar em IA: mentalidade de construtor,002-como-pensar-em-ia-mentalidade-de-construtor,"Não quero que isso se torne uma aula extensa, teórica, até legal de consumir, mas... e aí?",O inimigo não é teoria; é teoria que não aponta para uma ação prática no negócio.,alerta,Gestão antes da IA,Extraído da linha argumentativa da aula sobre Como pensar em IA: mentalidade de construtor.,Transforma um ponto didático da aula em ativo editorial reutilizável para empresários que querem aplicar IA com discernimento e foco em negócio.,4,4,4,4,4,4,4,28,P2,nova,reels/shorts; carrossel; post LinkedIn,IA com gestão antes da ferramenta,/root/domus-conteudo/aulas/002-como-pensar-em-ia-mentalidade-de-construtor.md
002-como-pensar-em-ia-mentalidade-de-construtor-p006,2026-06-26,Como pensar em IA: mentalidade de construtor,002-como-pensar-em-ia-mentalidade-de-construtor,Nós estamos em fases muito diferentes.,"IA não entra igual em todo negócio: fase, maturidade e gargalo mudam a aplicação correta.",tese,Casos de negócio,Extraído da linha argumentativa da aula sobre Como pensar em IA: mentalidade de construtor.,Transforma um ponto didático da aula em ativo editorial reutilizável para empresários que querem aplicar IA com discernimento e foco em negócio.,4,4,4,4,3,4,5,28,P2,nova,reels/shorts; carrossel; post LinkedIn,Implementação prática de IA,/root/domus-conteudo/aulas/002-como-pensar-em-ia-mentalidade-de-construtor.md
002-como-pensar-em-ia-mentalidade-de-construtor-p007,2026-06-26,Como pensar em IA: mentalidade de construtor,002-como-pensar-em-ia-mentalidade-de-construtor,Me contem mais sobre o que vocês fazem.,A aplicação real começa quando a ferramenta encontra a realidade concreta da operação.,caso aplicado,Implementação,Extraído da linha argumentativa da aula sobre Como pensar em IA: mentalidade de construtor.,Transforma um ponto didático da aula em ativo editorial reutilizável para empresários que querem aplicar IA com discernimento e foco em negócio.,4,4,4,4,3,4,4,27,P3,nova,reels/shorts; carrossel; post LinkedIn,Implementação prática de IA,/root/domus-conteudo/aulas/002-como-pensar-em-ia-mentalidade-de-construtor.md
002-como-pensar-em-ia-mentalidade-de-construtor-p008,2026-06-26,Como pensar em IA: mentalidade de construtor,002-como-pensar-em-ia-mentalidade-de-construtor,Foca nisso aqui agora.,"O valor da aula está em reduzir dispersão: menos ansiedade por novidade, mais clareza do próximo movimento.",framework,Gestão antes da IA,Extraído da linha argumentativa da aula sobre Como pensar em IA: mentalidade de construtor.,Transforma um ponto didático da aula em ativo editorial reutilizável para empresários que querem aplicar IA com discernimento e foco em negócio.,4,4,4,4,4,4,4,28,P2,nova,reels/shorts; carrossel; post LinkedIn,IA com gestão antes da ferramenta,/root/domus-conteudo/aulas/002-como-pensar-em-ia-mentalidade-de-construtor.md
003-engenharia-de-prompt-pt-1-conceitos-importantes-p001,2026-06-26,Engenharia de prompt pt. 1: conceitos importantes,003-engenharia-de-prompt-pt-1-conceitos-importantes,Engenharia de prompt é a linguagem que nós usamos para nos comunicar com a IA.,Prompt é a interface entre intenção humana e execução probabilística da IA.,definição simples,Implementação,Extraído da linha argumentativa da aula sobre Engenharia de prompt pt. 1: conceitos importantes.,Transforma um ponto didático da aula em ativo editorial reutilizável para empresários que querem aplicar IA com discernimento e foco em negócio.,4,4,4,4,3,4,4,27,P2,nova,reels/shorts; carrossel; post LinkedIn,Implementação prática de IA,/root/domus-conteudo/aulas/003-engenharia-de-prompt-pt-1-conceitos-importantes.md
003-engenharia-de-prompt-pt-1-conceitos-importantes-p002,2026-06-26,Engenharia de prompt pt. 1: conceitos importantes,003-engenharia-de-prompt-pt-1-conceitos-importantes,"Por baixo dos panos, ele não está te respondendo. Ele só está completando o texto.","O ChatGPT parece responder, mas tecnicamente está continuando um texto na direção que você iniciou.",contraste,Anti-hype e discernimento,Extraído da linha argumentativa da aula sobre Engenharia de prompt pt. 1: conceitos importantes.,Transforma um ponto didático da aula em ativo editorial reutilizável para empresários que querem aplicar IA com discernimento e foco em negócio.,4,4,4,4,4,4,4,28,P2,nova,reels/shorts; carrossel; post LinkedIn,Anti-hype: IA aplicada de verdade,/root/domus-conteudo/aulas/003-engenharia-de-prompt-pt-1-conceitos-importantes.md
003-engenharia-de-prompt-pt-1-conceitos-importantes-p003,2026-06-26,Engenharia de prompt pt. 1: conceitos importantes,003-engenharia-de-prompt-pt-1-conceitos-importantes,Não tem pergunta e resposta. Por baixo dos panos é tudo um grande texto.,A conversa com IA é menos “bate-papo” e mais um documento compartilhado em construção.,analogia,Implementação,Extraído da linha argumentativa da aula sobre Engenharia de prompt pt. 1: conceitos importantes.,Transforma um ponto didático da aula em ativo editorial reutilizável para empresários que querem aplicar IA com discernimento e foco em negócio.,4,4,4,4,3,4,5,28,P2,nova,reels/shorts; carrossel; post LinkedIn,Implementação prática de IA,/root/domus-conteudo/aulas/003-engenharia-de-prompt-pt-1-conceitos-importantes.md
003-engenharia-de-prompt-pt-1-conceitos-importantes-p004,2026-06-26,Engenharia de prompt pt. 1: conceitos importantes,003-engenharia-de-prompt-pt-1-conceitos-importantes,Vocês estão posicionando o foco da IA.,Prompt bom não grita ordens: ele posiciona o foco do modelo no lugar certo do mapa.,frase de impacto,Sistemas e alavancagem,Extraído da linha argumentativa da aula sobre Engenharia de prompt pt. 1: conceitos importantes.,Transforma um ponto didático da aula em ativo editorial reutilizável para empresários que querem aplicar IA com discernimento e foco em negócio.,4,4,4,4,3,4,4,27,P3,nova,reels/shorts; carrossel; post LinkedIn,Implementação prática de IA,/root/domus-conteudo/aulas/003-engenharia-de-prompt-pt-1-conceitos-importantes.md
003-engenharia-de-prompt-pt-1-conceitos-importantes-p005,2026-06-26,Engenharia de prompt pt. 1: conceitos importantes,003-engenharia-de-prompt-pt-1-conceitos-importantes,"Os termos estão agrupados por semântica, por significado.","A IA navega por proximidade de sentido; por isso palavras, exemplos e contexto mudam a resposta.",definição simples,Anti-hype e discernimento,Extraído da linha argumentativa da aula sobre Engenharia de prompt pt. 1: conceitos importantes.,Transforma um ponto didático da aula em ativo editorial reutilizável para empresários que querem aplicar IA com discernimento e foco em negócio.,4,4,4,4,4,4,4,28,P2,nova,reels/shorts; carrossel; post LinkedIn,Anti-hype: IA aplicada de verdade,/root/domus-conteudo/aulas/003-engenharia-de-prompt-pt-1-conceitos-importantes.md
003-engenharia-de-prompt-pt-1-conceitos-importantes-p006,2026-06-26,Engenharia de prompt pt. 1: conceitos importantes,003-engenharia-de-prompt-pt-1-conceitos-importantes,Uma baita ferramenta... mas você só consegue conversar com ela de um jeito.,A potência da IA fica limitada pela qualidade da sua comunicação com ela.,tese,Implementação,Extraído da linha argumentativa da aula sobre Engenharia de prompt pt. 1: conceitos importantes.,Transforma um ponto didático da aula em ativo editorial reutilizável para empresários que querem aplicar IA com discernimento e foco em negócio.,4,4,4,4,3,4,5,28,P2,nova,reels/shorts; carrossel; post LinkedIn,Implementação prática de IA,/root/domus-conteudo/aulas/003-engenharia-de-prompt-pt-1-conceitos-importantes.md
003-engenharia-de-prompt-pt-1-conceitos-importantes-p007,2026-06-26,Engenharia de prompt pt. 1: conceitos importantes,003-engenharia-de-prompt-pt-1-conceitos-importantes,"Às vezes é superestimada, às vezes é subestimada.",O erro comum é oscilar entre milagre e brinquedo; prompt bom nasce do meio: capacidade com limite.,erro comum,Anti-hype e discernimento,Extraído da linha argumentativa da aula sobre Engenharia de prompt pt. 1: conceitos importantes.,Transforma um ponto didático da aula em ativo editorial reutilizável para empresários que querem aplicar IA com discernimento e foco em negócio.,4,4,4,4,3,4,4,27,P3,nova,reels/shorts; carrossel; post LinkedIn,Anti-hype: IA aplicada de verdade,/root/domus-conteudo/aulas/003-engenharia-de-prompt-pt-1-conceitos-importantes.md
003-engenharia-de-prompt-pt-1-conceitos-importantes-p008,2026-06-26,Engenharia de prompt pt. 1: conceitos importantes,003-engenharia-de-prompt-pt-1-conceitos-importantes,O que você digita ali é o prompt.,Cada mensagem é uma intervenção no comportamento do modelo — não só a primeira.,definição simples,Implementação,Extraído da linha argumentativa da aula sobre Engenharia de prompt pt. 1: conceitos importantes.,Transforma um ponto didático da aula em ativo editorial reutilizável para empresários que querem aplicar IA com discernimento e foco em negócio.,4,4,4,4,4,4,4,28,P2,nova,reels/shorts; carrossel; post LinkedIn,Implementação prática de IA,/root/domus-conteudo/aulas/003-engenharia-de-prompt-pt-1-conceitos-importantes.md
004-engenharia-de-prompt-pt-2-pratica-p001,2026-06-26,Engenharia de prompt pt. 2: prática,004-engenharia-de-prompt-pt-2-pratica,A parte mais importante da engenharia de prompt não está no prompt.,"O melhor prompt começa antes da escrita: no entendimento do problema, do objetivo e do critério de sucesso.",tese,Gestão antes da IA,Extraído da linha argumentativa da aula sobre Engenharia de prompt pt. 2: prática.,Transforma um ponto didático da aula em ativo editorial reutilizável para empresários que querem aplicar IA com discernimento e foco em negócio.,4,4,4,4,3,4,4,27,P2,nova,reels/shorts; carrossel; post LinkedIn,IA com gestão antes da ferramenta,/root/domus-conteudo/aulas/004-engenharia-de-prompt-pt-2-pratica.md
004-engenharia-de-prompt-pt-2-pratica-p002,2026-06-26,Engenharia de prompt pt. 2: prática,004-engenharia-de-prompt-pt-2-pratica,O rei está nu.,"Prompt bom não nasce de magia; nasce de tentativa, erro, pesquisa e ajuste.",frase de impacto,Anti-hype e discernimento,Extraído da linha argumentativa da aula sobre Engenharia de prompt pt. 2: prática.,Transforma um ponto didático da aula em ativo editorial reutilizável para empresários que querem aplicar IA com discernimento e foco em negócio.,4,4,4,4,4,4,4,28,P2,nova,reels/shorts; carrossel; post LinkedIn,Anti-hype: IA aplicada de verdade,/root/domus-conteudo/aulas/004-engenharia-de-prompt-pt-2-pratica.md
004-engenharia-de-prompt-pt-2-pratica-p003,2026-06-26,Engenharia de prompt pt. 2: prática,004-engenharia-de-prompt-pt-2-pratica,"Vocês vão ver como eu quebro a cabeça, como eu penso, como eu pesquiso, como eu testo.","O bastidor da IA é menos glamour e mais método: pensar, pesquisar, testar, corrigir.",framework,Implementação,Extraído da linha argumentativa da aula sobre Engenharia de prompt pt. 2: prática.,Transforma um ponto didático da aula em ativo editorial reutilizável para empresários que querem aplicar IA com discernimento e foco em negócio.,4,4,4,4,3,4,5,28,P2,nova,reels/shorts; carrossel; post LinkedIn,Implementação prática de IA,/root/domus-conteudo/aulas/004-engenharia-de-prompt-pt-2-pratica.md
004-engenharia-de-prompt-pt-2-pratica-p004,2026-06-26,Engenharia de prompt pt. 2: prática,004-engenharia-de-prompt-pt-2-pratica,"Tem uma certa visão romântica... técnicas matadoras, templates.",A promessa do template matador atrapalha porque faz parecer que complexidade some com uma frase pronta.,erro comum,Anti-hype e discernimento,Extraído da linha argumentativa da aula sobre Engenharia de prompt pt. 2: prática.,Transforma um ponto didático da aula em ativo editorial reutilizável para empresários que querem aplicar IA com discernimento e foco em negócio.,4,4,4,4,3,4,4,27,P3,nova,reels/shorts; carrossel; post LinkedIn,Anti-hype: IA aplicada de verdade,/root/domus-conteudo/aulas/004-engenharia-de-prompt-pt-2-pratica.md
004-engenharia-de-prompt-pt-2-pratica-p005,2026-06-26,Engenharia de prompt pt. 2: prática,004-engenharia-de-prompt-pt-2-pratica,Mexer com prompt e IA é muito parecido com programar.,"Como programação, IA exige decomposição, teste e depuração — não inspiração perfeita de primeira.",analogia,Implementação,Extraído da linha argumentativa da aula sobre Engenharia de prompt pt. 2: prática.,Transforma um ponto didático da aula em ativo editorial reutilizável para empresários que querem aplicar IA com discernimento e foco em negócio.,4,4,4,4,4,4,4,28,P2,nova,reels/shorts; carrossel; post LinkedIn,Implementação prática de IA,/root/domus-conteudo/aulas/004-engenharia-de-prompt-pt-2-pratica.md
